b\a	B4	B12	B18	B20	B22	B24	B26	B28	B30	B32	B34	B36	B38	B40	B42	B44	B46
-31.0	0.5332709999999999	0.996553	2.11285	3.59085	3.46935	3.63213	4.055020000000001	4.14754	4.8897200000000005	5.06207	5.509390000000001	5.128340000000001	7.6496200000000005	7.2687	7.73212	9.36467	9.67967
-18.8	0.556792	1.0488	2.23927	3.73753	3.5800799999999997	3.77251	4.249700000000001	4.3307199999999995	5.0483899999999995	5.26089	5.77829	5.36121	8.162040000000001	7.7349499999999995	8.1969	10.161999999999999	10.4078
-6.5	0.5804910000000001	1.1010499999999999	2.3657	3.8854699999999998	3.69141	3.9134399999999996	4.44634	4.51466	5.20934	5.477659999999999	6.04718	5.594329999999999	8.68444	8.201419999999999	8.6621	10.9602	11.1372
0.0	0.595533	1.1286200000000002	2.43239	3.9635599999999998	3.75829	3.98791	4.55013	4.6117099999999995	5.29477	5.60317	6.18916	5.7174000000000005	8.96405	8.44749	8.90751	11.381300000000001	11.5222
10.0	0.50884	0.864539	1.5736	2.2352000000000003	2.30156	2.4261399999999997	2.39269	2.52045	2.5320899999999997	2.68002	2.91304	2.78206	2.9527099999999997	2.91177	2.92547	2.83274	2.74789
20.0	0.779863	1.39813	2.35861	7.27335	17.450799999999997	20.4937	29.6055	28.197400000000002	40.3703	41.5736	50.9866	38.629799999999996	47.368	47.8641	44.801300000000005	39.5861	42.9609
30.0	0.715162	1.29881	2.15042	4.52476	6.93684	7.77173	7.92082	11.0568	14.7152	14.01	12.119299999999999	19.9744	20.323	15.2087	29.1034	22.461	21.1569
40.0	0.65107	1.20196	1.86316	3.2846300000000004	3.3885199999999998	3.27816	3.46193	5.16184	5.00887	6.335	6.47133	7.87117	7.6353	6.6043899999999995	7.16577	7.44196	6.11166
50.0	0.588663	1.1076000000000001	1.8127099999999998	2.69271	2.74417	2.61449	2.9953499999999997	3.5204199999999997	3.00441	3.42699	3.5151499999999998	3.56594	4.10385	3.66459	3.9304300000000003	5.979	5.010739999999999
60.0	0.5281020000000001	1.01433	1.79266	2.2845	2.3856900000000003	2.3116299999999996	2.7732	2.97596	2.65834	2.8080000000000003	2.95804	3.0538499999999997	3.32715	2.7202900000000003	2.96402	4.7920799999999995	4.3034099999999995
70.0	0.466875	0.920472	1.7816500000000002	2.09988	2.28317	2.16074	2.58317	2.5283100000000003	2.36043	2.4135799999999996	2.50856	2.7041500000000003	3.01438	2.44363	2.69218	4.2453899999999996	3.7425800000000002
